Código;Descripción
B98;Otros agentes infeccioso especificados como causa de enfermedades clasificadas en otros capítulos
C86;Otros tipos especificados de linfomas de células T/NK
C97;Tumores malignos (primarios) de sitios múltiples independientes
D47.5;Leucemia eosinofílica crónica [síndrome hipereosinofílico]
E02;Hipotiroidismo subclínico por deficiencia de yodo
E29;Disfunción testicular
E31;Disfunción poliglandular
E32;Enfermedades del timo
G03;Meningitis debida a otras causas y a las no especificadas
G04;Encefalitis, mielitis y encefalomielitis
G06;Absceso y granuloma intracraneal e intrarraquídeo
G14;Síndrome postpolio
I48.0;Fibrilación auricular paroxística
I48.1;Fibrilación auricular persistente
I48.2;Fibrilación auricular crónica
I48.3;Flutter auricular típico
I48.4;Flutter auricular atípico
I48.9;Fibrilacion y flutter auricular, no especificado
I70.00;Aterosclerosis de la aorta, sin gangrena
I70.01;Aterosclerosis de la aorta, con gangrena
I70.10;Aterosclerosis de la arteria renal, sin gangrena
I70.11;Aterosclerosis de la arteria renal, con gangrena
I70.20;Aterosclerosis de las arterias de los miembros, sin gangrena
I70.21;Aterosclerosis de las arterias de los miembros, con gangrena
I70.80;Aterosclerosis de otras arterias, sin gangrena
I70.81;Aterosclerosis de otras arterias, con gangrena
I70.90;Aterosclerosis generalizada y la no especificada, sin gangrena
J96.00;Insuficiencia respiratoria aguda, Tipo I (hipoxémica)
J96.01;Insuficiencia respiratoria aguda, Tipo II (hipercápnica)
J96.09;Insuficiencia respiratoria aguda, Tipo no especificado
J96.10;Insuficiencia respiratoria crónica, Tipo I (hipoxémica)
J96.11;Insuficiencia respiratoria crónica, Tipo II (hipercápnica)
J96.19;Insuficiencia respiratoria crónica, Tipo no especificado
J96.90;Insuficiencia respiratoria, no especificada, Tipo I (hipoxémica)
J96.91;Insuficiencia respiratoria, no especificada, Tipo II (hipercápnica)
J96.99;Insuficiencia respiratoria, no especificada, Tipo no especificado
K02.5;Caries con exposición de pulpa
K43.2;Hernia incisional sin obstruccion ni gangrena
K43.3;Hernia paraestomal con obstrucción, sin gangrena
K43.4;Hernia paraestomal con gangrena
K43.5;Hernia paraestomal sin obstrucción, ni gangrena
K43.6;Otras hernias ventrales y no especificadas con obstrucción sin gangrena
K43.7;Otras hernias ventrales y no especificadas con gangrena
K64;Hemorroides y trombosis venosa perianal
K64.0;Hemorroides de primer grado
K64.1;Hemorroides de segundo grado
K64.2;Hemorroides de tercer grado
K64.3;Hemorroides de cuarto grado
K64.4;Acrocordones hemorroidales residuales
K64.5;Trombosis venosa perianal
K64.8;Otras hemorroides especificadas
K64.9;Hemorroides no especificadas
L89.1;Úlcera de decúbito estadío II
M00.00;Artritis y poliartritis estafilocócica, sitios múltiples
M00.01;Artritis y poliartritis estafilocócica, región del hombro
M00.02;Artritis y poliartritis estafilocócica, brazo
M00.03;Artritis y poliartritis estafilocócica, antebrazo
M00.04;Artritis y poliartritis estafilocócica, mano
M00.05;Artritis y poliartritis estafilocócica, región pelviana y muslo
M00.06;Artritis y poliartritis estafilocócica, pierna
M00.07;Artritis y poliartritis estafilocócica, tobillo y pie
M00.08;Artritis y poliartritis estafilocócica, otros
M00.09;Artritis y poliartritis estafilocócica, sitio no especificado
M00.10;Artritis y poliartritis neumocócica, sitios múltiples
M00.11;Artritis y poliartritis neumocócica, región del hombro
M00.12;Artritis y poliartritis neumocócica, brazo
M00.13;Artritis y poliartritis neumocócica, antebrazo
M00.14;Artritis y poliartritis neumocócica, mano
M00.15;Artritis y poliartritis neumocócica, región pelviana y muslo
M00.16;Artritis y poliartritis neumocócica, pierna
